Branch_Name,1st Line Branch Address,City,Postcode,ManagerName,Contact Number,Open Weekends
Stretford,55 Kings Road,Manchester,M34P45,Mohammed Khalifa ,0161 653 4335,Yes
Sale,250 Dane Road,Manchester,M35U67,Sarah Jones,0161 234 3536,Yes
Urmston,5 Consiton Road,Manchester,M36T56,Ali Shouman,0161 242 3252,No
Highbury,22 Kings Street,London,L114GG,Farah Ahmed,0221 234 2425,Yes
Barnet,120 Green Close,London,L125HH,Omar Ahmed,0221 234 2552  ,Yes
Chelsea,124 John Road,London,L137JH,Jimmy Jones,0221 353 2753,No
Kensington,23 Newton Street,Liverpool,LI345,Fatima Ahmad ,0151 223 2535,Yes
Halewood,34 Edge Lane,Liverpool,LI346,Francesco Radice,0151 245 5537,Yes
Lofthouse,24 Bobs Street,Leeds,LE5453,Ben Smith,0721 242 2525,Yes
Oakwood,242 Ahmed Road,Leeds,LE5454,Michael Jones,0721 245 2562,Yes
